district,attraction_count,avg_attraction_rating,avg_ticket_price,hotel_count,avg_hotel_rating,avg_hotel_price,avg_cost_performance,food_count,total_score
瑞安市,1,4.0,0.0,4,4.27,280.2,0.92,1,10.07
苍南县,2,4.25,35.0,3,4.57,278.7,0.8367,1,9.43
平阳县,1,4.6,150.0,3,4.1,272.7,0.8133,1,9.36
永嘉县,1,4.6,50.0,4,4.4,293.2,0.795,2,9.19
乐清市,2,4.5,115.0,5,4.04,298.0,0.756,2,8.79
泰顺县,1,4.5,40.0,3,4.13,320.7,0.7267,1,8.52
洞头区,2,4.3,75.0,4,4.28,351.5,0.7175,2,8.35
文成县,3,4.37,61.7,3,4.0,305.3,0.6733,1,7.99
瓯海区,4,4.25,48.8,5,3.96,362.6,0.568,2,6.98
鹿城区,1,4.5,30.0,7,4.1,428.9,0.5243,12,6.66
龙湾区,0,0.0,0.0,4,4.05,384.5,0.6075,0,0.0
