name,district,star,rating,reviews,price,cost_performance,lat,lng,id,price_level,rating_level,cp_level,star_display
温州万豪酒店,鹿城区,5,4.5,4821,737,0.31,28.01968501579465,120.64458327528536,1,高档 (500元以上),极佳 (4.5+),性价比一般,★★★★★
温州国际大酒店,鹿城区,4,3.6,7889,399,0.45,27.9742866817922,120.6650888472949,2,中档 (350-500元),良好 (4.0以下),性价比一般,★★★★☆
温州华侨饭店,鹿城区,4,3.6,10812,429,0.42,27.9600778765841,120.69922115592912,3,中档 (350-500元),良好 (4.0以下),性价比一般,★★★★☆
温州开元名都大酒店,鹿城区,5,4.3,9585,468,0.46,27.962306242504145,120.65247746602584,4,中档 (350-500元),优秀 (4.0-4.4),性价比一般,★★★★★
温州亚金大酒店,鹿城区,3,4.0,3300,296,0.68,27.983277134043032,120.60906064345328,5,舒适 (200-350元),优秀 (4.0-4.4),高性价比,★★★☆☆
温州顺锦国际商务酒店,鹿城区,4,4.3,7035,400,0.54,28.0066762893248,120.68599404067363,6,中档 (350-500元),优秀 (4.0-4.4),高性价比,★★★★☆
温州半岛酒店,鹿城区,4,4.4,7792,273,0.81,28.05422017556849,120.65632882178456,7,舒适 (200-350元),优秀 (4.0-4.4),超高性价比,★★★★☆
温州中瑞大酒店,瓯海区,4,3.6,10664,373,0.48,27.93220382348448,120.62951769101112,8,中档 (350-500元),良好 (4.0以下),性价比一般,★★★★☆
温州梦江酒店,瓯海区,3,3.5,13234,231,0.76,27.9862522284354,120.61117110760894,9,舒适 (200-350元),良好 (4.0以下),高性价比,★★★☆☆
温州和晟温德姆酒店,瓯海区,5,4.2,9094,470,0.45,28.01695846277645,120.65751328233613,10,中档 (350-500元),优秀 (4.0-4.4),性价比一般,★★★★★
温州君廷酒店,瓯海区,4,4.7,13068,360,0.65,28.01218742350231,120.5888492502052,11,中档 (350-500元),极佳 (4.5+),高性价比,★★★★☆
温州阿外楼度假酒店,瓯海区,4,3.8,3370,379,0.5,27.958867728968947,120.60713490317738,12,中档 (350-500元),良好 (4.0以下),高性价比,★★★★☆
温州空港万豪酒店,龙湾区,5,4.3,16432,598,0.36,27.897599918202257,120.7896273505704,13,高档 (500元以上),优秀 (4.0-4.4),性价比一般,★★★★★
温州滨海大酒店,龙湾区,4,3.7,3591,312,0.59,27.90948815181756,120.7893488174718,14,舒适 (200-350元),良好 (4.0以下),高性价比,★★★★☆
温州瑞达洲际酒店,龙湾区,4,3.5,6069,404,0.43,27.94901755405312,120.82059599747812,15,中档 (350-500元),良好 (4.0以下),性价比一般,★★★★☆
温州龙湾国际机场宾馆,龙湾区,3,4.7,12184,224,1.05,27.95500385777898,120.80494506741384,16,舒适 (200-350元),极佳 (4.5+),超高性价比,★★★☆☆
雁荡山芙蓉宾馆,乐清市,3,3.6,3435,208,0.87,28.15296061783381,120.97375574713551,17,舒适 (200-350元),良好 (4.0以下),超高性价比,★★★☆☆
雁荡山云台山居,乐清市,4,4.7,4423,336,0.7,28.151324478722294,120.98607850486168,18,舒适 (200-350元),极佳 (4.5+),高性价比,★★★★☆
乐清金鼎大酒店,乐清市,4,4.2,6253,349,0.6,28.1322732829382,120.95275410183584,19,舒适 (200-350元),优秀 (4.0-4.4),高性价比,★★★★☆
